,store,Category,topic_75,cleaned_property,count
783,카페게이트 관악신사로점,서비스,직원,친절,1
784,카페게이트 관악신사로점,커피,커피,맞춤,1
785,카페게이트 신림별빛거리점,서비스,직원,친절,1
786,카페녹다,디저트,디저트,다양,1
787,카페녹다,디저트,베이글,담백하,1
788,카페녹다,디저트,소금빵,묵직,1
789,카페녹다,매장,매장,분위기,2
790,카페녹다,매장,공간,적합,1
791,카페녹다,매장,매장,공부,1
792,카페녹다,분위기,분위기,놀,1
793,카페녹다,분위기,분위기,대화,1
794,카페녹다,분위기,분위기,예쁘,1
795,카페녹다,서비스,직원,친절,5
796,카페녹다,서비스,배달,만족,1
797,카페녹다,서비스,사장님,마인드,1
798,카페녹다,음료,디카페인,고소하,1
799,카페녹다,커피,라떼,고소하,2
800,카페녹다,커피,라떼,따뜻,1
801,카페녹다,커피,아인슈페너,양,1
802,카페뉴욕,매장,공간,한적하,1
803,카페뉴욕,매장,내부,넓,1
804,카페뉴욕,매장,콘센트,넓,1
805,카페뉴욕,서비스,직원,친절,1
806,카페달달스콘,디저트,스콘,종류,2
807,카페달달스콘,디저트,디저트,만족,1
808,카페달달스콘,디저트,빵,많,1
809,카페달달스콘,매장,매장,예쁘,3
810,카페달달스콘,매장,좌석,편하,2
811,카페달달스콘,매장,내부,이쁘,1
812,카페달달스콘,분위기,라탄 소품,돋보이,1
813,카페달달스콘,분위기,분위기,고딕풍,1
814,카페달달스콘,분위기,분위기,아기자기,1
815,카페달달스콘,서비스,직원,친절,13
816,카페달달스콘,서비스,사장님,친절,3
817,카페달달스콘,서비스,사장님,관대하,1
818,카페달달스콘,커피,라떼,진하,1
819,카페달달스콘,커피,라떼,타맛,1
820,카페달달스콘,커피,커피,고소하,1
821,카페디딤,디저트,생크림,꾸덕,1
822,카페디딤,디저트,생크림,진하,1
823,카페디딤,매장,매장,공부,5
824,카페디딤,매장,매장,조용,5
825,카페디딤,매장,매장,분위기,3
826,카페디딤,분위기,인테리어,깔끔,1
827,카페디딤,서비스,사장님,친절,7
828,카페디딤,서비스,영업시간,늦,1
829,카페디딤,커피,바이올렛얼그레이라떼,최애,1
830,카페디딤,커피,커피,마음들,1
831,카페딜,디저트,닭가슴살 샌드위치,실하,1
832,카페딜,매장,공간,아늑,1
833,카페딜,매장,매장,다방,1
834,카페딜,매장,매장,모던,1
835,카페딜,서비스,사장님,마음씨,1
836,카페라움,매장,매장,넓,1
837,카페라움,매장,매장,청결,1
838,카페라움,매장,매장,혼자오,1
839,카페라움,분위기,피아노음악,잔잔,1
840,카페라움,서비스,사장님,친절,1
841,카페라움,서비스,직원,친절,1
842,카페마실,매장,매장,조용,1
843,카페마실,분위기,실내,대화,1
844,카페마실,분위기,음악,볼륨,1
845,카페마실,서비스,사장님,청결,1
846,카페사계,디저트,휘낭시에,바삭,1
847,카페사계,디저트,휘낭시에,촉촉하,1
848,카페사계,매장,가게,선영향력,1
849,카페사계,서비스,사장님,친절,3
850,카페사계,서비스,사장님,커피,1
851,카페사계,서비스,직원,친절,1
852,카페사계,음료,아샷추,넉넉,1
853,카페사계,음료,음료,저렴,1
854,카페사계,음료,음료,퀄리티,1
855,카페사계,커피,커피,퀄리티,2
856,카페사계,커피,딸기라떼,신선하,1
857,카페사계,커피,라떼,진하,1
858,카페스토어,기타,가격,저렴,1
859,카페스토어,서비스,사장님,친절,3
860,카페스토어,서비스,사장님,고맙,1
861,카페스토어,서비스,사장님,설명,1
862,카페스토어,음료,음료재료,저렴,1
863,카페스토어,음료,음료재료,적당,1
864,카페스토어,커피,드립커피,저렴,1
865,카페스토어,커피,드립커피,퀄리티,1
866,카페스토어,커피,라떼,가성비,1
867,카페신호 신림점,서비스,서비스,빠르,1
868,카페여기,기타,가격,저렴,1
869,카페여기,디저트,와플,바나나,1
870,카페여기,디저트,와플,시나몬,1
871,카페여기,디저트,와플,크림,1
872,카페여기,분위기,분위기,매력,1
873,카페여기,분위기,분위기,조용,1
874,카페여기,분위기,실내,아늑,1
875,카페여기,서비스,사장님,친절,2
876,카페여기,서비스,알바생,친절,2
877,카페여기,서비스,알바생,착하,1
878,카페여기,음료,과일주스,매력,1
879,카페여기,음료,과일주스,진하,1
880,카페여기,음료,밀크티,계피,1
881,카페여기,커피,라떼,고소하,1
882,카페여기,커피,라떼,부드럽,1
883,카페여기,커피,라떼,풍미,1
884,카페오름,기타,가격,저렴,1
885,카페오름,매장,매장,가격,2
886,카페오름,매장,내부,예쁘,1
887,카페오름,매장,매장,공부,1
888,카페오름,분위기,분위기,잔잔,1
889,카페오름,서비스,직원,친절,1
890,카페오름,음료,음료,퀄리티,1
891,카페오름,커피,고구마라떼,달달하,1
892,카페오트르,디저트,디저트,정성가득,1
893,카페오트르,디저트,아보카도,가성비,1
894,카페오트르,매장,매장,조용,2
895,카페오트르,매장,매장,깔끔,1
896,카페오트르,매장,매장,넓,1
897,카페오트르,분위기,음악,적절하,2
898,카페오트르,분위기,실내,깨끗,1
899,카페오트르,서비스,사장님,친절,2
900,카페오트르,서비스,직원,친절,1
901,카페오트르,커피,아메리카노,묵직,1
902,카페오트르,커피,커피,섬세하,1
903,카페인,매장,공간,독서,1
904,카페인,매장,매장,빠르,1
905,카페인,매장,매장,환경,1
906,카페인,분위기,음악,취향맞,1
907,카페인,서비스,직원,친절,6
908,카페인,커피,원두,다양,2
909,카페인,커피,아메리카노,산미,1
910,카페인,커피,원두,선택가능,1
911,카페인중독 신림본점,디저트,떡볶이,꾸덕,2
912,카페인중독 신림본점,디저트,떡볶이,잘어울리,2
913,카페인중독 신림본점,디저트,와플,바삭,2
914,카페인중독 신림본점,매장,매장,깔끔,1
915,카페인중독 신림본점,매장,매장,시원,1
916,카페인중독 신림본점,서비스,직원,친절,4
917,카페인중독 신림본점,서비스,포장,깔끔,1
918,카페인중독 신림본점,음료,깻잎 컵볶이,향강하,1
919,카페일기,디저트,빙수,달달하,1
920,카페일기,디저트,빙수,많,1
921,카페일기,디저트,샌드위치,식사대용,1
922,카페일기,서비스,사장님,친절,2
923,카페일기,서비스,사장님,착하,1
924,카페일기,서비스,알바생,친절,1
925,카페일기,커피,디카페인 커피,가성비,1
926,카페일분 관악산역점,매장,매장,공부,1
927,카페캘리 본점,서비스,포장,할인,1
928,카페캘리 본점,커피,아메리카노,저렴,1
929,카페캘리 본점,커피,커피,저렴,1
930,카페토리,분위기,인테리어,예쁘,1
931,카페토리,서비스,사장님,친절,2
932,카페파사디나,디저트,초코릿 케이크,세트,1
933,카페파사디나,매장,매장,깔끔,1
934,카페파사디나,매장,매장,시원,1
935,카페파사디나,매장,매장,조용,1
936,카페파사디나,서비스,직원,친절,1
937,카페헤이,디저트,샌드위치,속꽉차,2
938,카페헤이,디저트,음식,양,1
939,카페헤이,디저트,음식,푸짐,1
940,카페헤이,서비스,사장님,친절,2
941,카페헤이,음료,쉐이크,얼음,2
942,카페헤이,음료,쉐이크,진하,2
943,카페헤이,커피,커피,입맛맞,2
944,커피니쉬,디저트,디저트,다양,2
945,커피니쉬,디저트,구움과자,향강하,1
946,커피니쉬,디저트,디저트,가성비,1
947,커피니쉬,매장,매장,조용,3
948,커피니쉬,매장,의자,편하,2
949,커피니쉬,매장,매장,깨끗,1
950,커피니쉬,분위기,분위기,카공족환영,1
951,커피니쉬,분위기,음악,잔잔,1
952,커피니쉬,분위기,인테리어,깔끔,1
953,커피니쉬,서비스,사장님,친절,11
954,커피니쉬,서비스,사장님,서비스마인드,1
955,커피니쉬,서비스,사장님,실력,1
956,커피니쉬,음료,애플민트티,상쾌,1
957,커피니쉬,커피,아메리카노,리필,1
958,커피니쉬,커피,원두,다양,1
959,커피니쉬,커피,원두,베리류,1
960,커피당,기타,가격,적정,1
961,커피당,매장,공간,공부,1
962,커피당,매장,매장,대화편하,1
963,커피당,매장,매장,아기자기,1
964,커피당,분위기,분위기,아기자기,1
965,커피당,서비스,사장님,친절,3
966,커피당,서비스,사장님,예쁘,2
967,커피당,서비스,알바분,친절,1
968,커피더알,기타,가격,저렴,1
969,커피더알,매장,매장,넓,1
970,커피더알,서비스,사장님,친절,2
971,커피더알,커피,아메리카노,저렴,1
972,커피마마 신림신지약국점,커피,커피,가성비,1
973,커피빅 신림본점,분위기,인테리어,이쁘,1
974,커피빅 신림본점,서비스,사장님,잘생기,1
975,커피빅 신림본점,커피,커피,많,1
976,커피빅 신림본점,커피,커피,저렴,1
977,커피어반,매장,매장,넓,2
978,커피어반,매장,매장,예쁘,1
979,커피어반,매장,매장,청결,1
980,커피어반,분위기,인테리어,멋지,1
981,커피어반,서비스,사장님,친절,1
982,커피어반,서비스,알바생,친절,1
983,커피에반하다 서울대벤처타운점 스마트카페,매장,매장,깨끗,2
984,커피에반하다 서울대벤처타운점 스마트카페,서비스,영업시간,시,1
985,커피에반하다 서울대벤처타운점 스마트카페,음료,음료,가격,1
986,커피에반하다 신림녹두거리점,매장,공간,공부,1
987,커피에반하다 신림녹두거리점,매장,매장,깨끗,1
988,커피에반하다 신림녹두거리점,매장,매장,마음들,1
989,커피에반하다 신림녹두거리점,서비스,직원,친절,2
990,커피에반하다 신림법학원점 스마트 무인카페,기타,가격,저렴,2
991,커피에반하다 신림법학원점 스마트 무인카페,매장,매장,조용,1
992,커피에반하다 신림법학원점 스마트 무인카페,매장,매장,한산,1
993,커피에반하다 신림법학원점 스마트 무인카페,매장,매장,한적하,1
994,커피에반하다 신림법학원점 스마트 무인카페,서비스,사장님,친절,1
995,커피에반하다 신림법학원점 스마트 무인카페,서비스,서비스,재제공,1
996,커피에반하다 신림법학원점 스마트 무인카페,음료,우유베이스 음료,우유,1
997,커피에반하다 신림법학원점 스마트 무인카페,커피,라떼,먹만,1
998,커피에반하다 신림법학원점 스마트 무인카페,커피,커피,가성비,1
999,커피인더문,매장,매장,질리,1
1000,커피인어뱃,매장,매장,조용,2
1001,커피인어뱃,매장,매장,깔끔,1
1002,커피인어뱃,매장,매장,분위기,1
1003,컴포즈커피 관악신사교차로점,매장,매장,깔끔,1
1004,컴포즈커피 관악신사교차로점,매장,매장,깨끗,1
1005,컴포즈커피 관악신사교차로점,매장,매장,시원,1
1006,컴포즈커피 관악신사교차로점,서비스,사장님,친절,3
1007,컴포즈커피 관악신사교차로점,서비스,사장님,착하,1
1008,컴포즈커피 관악신사교차로점,서비스,서비스,친절,1
1009,컴포즈커피 난곡우체국사거리점,서비스,직원,친절,2
1010,컴포즈커피 신림대학점,매장,매장,깔끔,1
1011,컴포즈커피 신림대학점,서비스,영업시간,시열,2
1012,컴포즈커피 신림대학점,서비스,알바생,손빠르,1
1013,컴포즈커피 신림대학점,서비스,직원,친절,1
1014,컴포즈커피 신림대학점,음료,음료,빨리나오,1
1015,콤마커피,분위기,인테리어,깔끔,1
1016,콤마커피,분위기,인테리어,따뜻,1
1017,콤마커피,분위기,인테리어,차분하,1
1018,콤마커피,서비스,사장님,배려,1
1019,콤마커피,서비스,사장님,정성,1
1020,콤마커피,서비스,사장님,친절,1
1021,콤마커피,음료,티,다양,1
1022,콤마커피,커피,라떼,고소하,1
1023,콤마커피,커피,아메리카노,다르,1
1024,키키's버터,디저트,소고기 파이,잘어울리,1
1025,키키's버터,서비스,직원,친절,1
1026,킷사텐 신림점,디저트,커스터드,진하,1
1027,킷사텐 신림점,디저트,푸딩,진하,1
1028,킷사텐 신림점,매장,공간,아늑,1
1029,킷사텐 신림점,매장,매장,조용,1
1030,킷사텐 신림점,서비스,사장님,친절,1
1031,킷사텐 신림점,음료,멜팅크림 아이스,고소하,1
1032,탐앤탐스 삼모타워신림역점,디저트,생크림,느끼,1
1033,탐앤탐스 삼모타워신림역점,매장,매장,넓,3
1034,탐앤탐스 삼모타워신림역점,매장,매장,깨끗,1
1035,탐앤탐스 삼모타워신림역점,매장,매장,시원,1
1036,탐앤탐스 삼모타워신림역점,서비스,여성 직원,친절,1
1037,탐앤탐스 삼모타워신림역점,서비스,직원,친절,1
1038,테라스카페,분위기,분위기,여유,1
1039,테라스카페,분위기,분위기,커피마시,1
1040,투썸플레이스 신림녹두거리점,디저트,케이크,예쁘,1
1041,투썸플레이스 신림녹두거리점,매장,매장,한적하,2
1042,투썸플레이스 신림녹두거리점,매장,콘센트,많,1
1043,투썸플레이스 신림녹두거리점,서비스,직원,친절,5
1044,투썸플레이스 신림녹두거리점,서비스,알바생,친절,3
1045,투썸플레이스 신림녹두거리점,서비스,사장님,친절,2
1046,퍼피앤커피,디저트,페브리즈,비치,1
1047,퍼피앤커피,매장,매장,냄새,2
1048,퍼피앤커피,매장,매장,번창,1
1049,퍼피앤커피,매장,매장,안전,1
1050,퍼피앤커피,분위기,분위기,편안,1
1051,퍼피앤커피,서비스,사장님,친절,2
1052,퍼피앤커피,서비스,사장님,강아지사랑,1
1053,퍼피앤커피,서비스,사장님,애정,1
1054,페이브베이커리 서울대점,디저트,티라미수,황홀,1
1055,페이브베이커리 서울대점,매장,내부,깔끔,2
1056,페이브베이커리 서울대점,매장,공간,공부,1
1057,페이브베이커리 서울대점,매장,공간,소소하,1
1058,페이브베이커리 서울대점,서비스,직원,친절,4
1059,페이브베이커리 서울대점,서비스,사장님,친절,2
1060,페이브베이커리 서울대점,음료,음료,우수,1
1061,페이브베이커리 서울대점,음료,음료,훌륭하,1
1062,페이브베이커리 서울대점,커피,라떼,고소하,2
1063,페이브베이커리 서울대점,커피,고구마라떼,고소하,1
1064,페이브베이커리 서울대점,커피,라떼,진하,1
1065,펠리치따,기타,가격,만족,1
1066,펠리치따,디저트,비올레따,고소하,1
1067,펠리치따,디저트,비올레따,산미,1
1068,펠리치따,디저트,샐러드,신선하,1
1069,펠리치따,매장,매장,깔끔,1
1070,펠리치따,매장,좌석,많,1
1071,펠리치따,매장,콘센트,많,1
1072,펠리치따,서비스,사장님,친절,4
1073,펠리치따,서비스,직원,친절,4
1074,펠리치따,서비스,영업시간,일찍열,1
1075,펠리치따,음료,디카페인,각성,1
1076,펠리치따,음료,밀크티,향,1
1077,펠리치따,음료,밀크티 인텐소,달,1
1078,펠리치따,커피,바닐라 라떼,당,1
1079,펠리치따,커피,아이스 라떼,가성비,1
1080,펠리치따,커피,아이스 라떼,최애,1
1081,편한커피,매장,매장,청결,1
1082,포레스트하우스,분위기,분위기,차분하,1
1083,포레스트하우스,서비스,사장님,아름답,1
1084,포레스트하우스,서비스,사장님,친절,1
1085,포트캔커피 난곡사거리점,기타,가격,저렴,1
1086,포트캔커피 난곡사거리점,매장,매장,깔끔,1
1087,포트캔커피 난곡사거리점,서비스,직원,친절,1
1088,포포 아카이브,매장,내부,깔끔,1
1089,포포 아카이브,분위기,분위기,포근,1
1090,포포 아카이브,서비스,직원,다정,1
1091,포포 아카이브,커피,라떼,고소하,1
1092,포포 아카이브,커피,라떼,따뜻,1
1093,포포 아카이브,커피,라떼,부드럽,1
1094,포희커피,매장,매장,가깝,1
1095,포희커피,매장,매장,아담하,1
1096,포희커피,매장,매장,여유,1
1097,포희커피,분위기,음악,크,1
1098,포희커피,분위기,인테리어,재미있,1
1099,포희커피,음료,에이드,시원,1
1100,포희커피,음료,에이드,여름,1
1101,포희커피,음료,에이드,청량,1
1102,폴러스타커피 서울대점,매장,매장,관리,2
1103,폴러스타커피 서울대점,분위기,인테리어,예쁘,1
1104,폴러스타커피 서울대점,커피,커피,맛조절가능,2
1105,프레오커피,디저트,디저트,정성,1
1106,프레오커피,매장,공간,여유,1
1107,프레오커피,매장,매장,일찍열,1
1108,프레오커피,매장,의자,디자인,1
1109,프레오커피,분위기,인테리어,깔끔,2
1110,프레오커피,분위기,분위기,조용,1
1111,프레오커피,분위기,음악,적당,1
1112,프레오커피,서비스,사장님,친절,2
1113,프레오커피,서비스,직원,섬세하,1
1114,프레오커피,음료,우유,고소하,1
1115,프레오커피,음료,핸드드립,깔끔,1
1116,프레오커피,커피,라떼,밀도,1
1117,프레오커피,커피,바닐라 라떼,가격적당,1
1118,프레오커피,커피,바닐라 라떼,고소하,1
1119,프롬카페,디저트,딸기,덜,1
1120,프롬카페,디저트,케이크,촉촉하,1
1121,프롬카페,매장,매장,깨끗,3
1122,프롬카페,매장,가게,깨끗,2
1123,프롬카페,매장,매장,넓,2
1124,프롬카페,분위기,인테리어,깔끔,2
1125,프롬카페,분위기,인테리어,예쁘,1
1126,프롬카페,서비스,사장님,친절,3
1127,프롬카페,서비스,서비스,친절,1
1128,프롬카페,커피,아메리카노,깔끔,1
1129,프롬카페,커피,아메리카노,타,1
1130,프롬카페,커피,커피,향,1
1131,플랙커피,기타,가격,착하,1
1132,플랙커피,디저트,까눌레,겉바삭,1
1133,플랙커피,디저트,까눌레,바삭,1
1134,플랙커피,디저트,까눌레,속촉촉,1
1135,플랙커피,매장,매장,분위기,2
1136,플랙커피,매장,공간,기분,1
1137,플랙커피,매장,매장,가격,1
1138,플랙커피,분위기,음악,재즈,1
1139,플랙커피,분위기,인테리어,어둑,1
1140,플랙커피,분위기,인테리어,훌륭하,1
1141,플랙커피,서비스,직원,친절,4
1142,플랙커피,서비스,사장님,친절,3
1143,플랙커피,서비스,서비스,훌륭하,1
1144,플랙커피,커피,커피,저렴,4
1145,플랙커피,커피,커피,향,2
1146,플랙커피,커피,에스프레소,숨기,1
1147,플레이온보드게임카페 신림점,매장,공간,독립,1
1148,플레이온보드게임카페 신림점,매장,화장실,깨끗,1
1149,플레이온보드게임카페 신림점,분위기,인테리어,고급,1
1150,플레이온보드게임카페 신림점,분위기,인테리어,예쁘,1
1151,플레이온보드게임카페 신림점,서비스,직원,친절,1
1152,플로레스타229,디저트,케이크,훌륭하,1
1153,플로레스타229,디저트,케잌,예쁘,1
1154,플로레스타229,매장,공간,아담하,1
1155,플로레스타229,매장,매장,아담하,1
1156,플로레스타229,매장,매장,조용,1
1157,플로레스타229,서비스,사장님,기억,1
1158,플로레스타229,서비스,사장님,친절,1
1159,하삼동커피 신림난곡점,서비스,사장님,친절,1
1160,하삼동커피 신림난곡점,서비스,알바생,친절,1
1161,할리스 신림역점,디저트,점장,친절,1
1162,할리스 신림역점,매장,매장,넓,2
1163,할리스 신림역점,매장,매장,쾌적하,2
1164,할리스 신림역점,매장,매장,편리,2
1165,할리스 신림역점,서비스,사장님,친절,2
1166,할리스 신림역점,서비스,직원,친절,1
1167,홍카페,디저트,디저트,많,1
1168,홍카페,매장,좌석,많,2
1169,홍카페,매장,매장,외국인친화,1
1170,홍카페,매장,매장,편하,1
1171,홍카페,분위기,분위기,따뜻,1
1172,홍카페,분위기,분위기,아늑,1
1173,홍카페,분위기,분위기,편하,1
1174,홍카페,서비스,영업시간,늦,1
1175,홍카페,서비스,직원,친절,1
1176,홍카페,음료,음료,가성비,1
1177,홍카페,커피,커피,양,1
1178,히포커피 신림점,기타,가격,저렴,1
1179,히포커피 신림점,기타,가격,친절,1
1180,히포커피 신림점,디저트,위치,편하,1
1181,히포커피 신림점,매장,좌석,많,1
1182,히포커피 신림점,서비스,사장님,친절,4
1183,히포커피 신림점,서비스,알바생,밝,1
1184,히포커피 신림점,서비스,알바생,친절,1
1185,히포커피 신림점,커피,커피,배부르,1
1186,히포커피 신림점,커피,흑임자크림라떼,시그니처,1
